university_name,country,city,qs_ranking,degree_level,programs_offered,fields,min_gpa,gre_required,min_gre,ielts_min,toefl_min,duolingo_min,research_weight,research_focus,has_thesis_option,eca_weight,tuition_fee,living_cost,total_cost_estimated,scholarship_available,max_coverage_percent,work_visa_available,deadline_fall,deadline_spring,acceptance_rate,bd_admit_count_3yr,last_updated,source_url
University of Birmingham,United Kingdom,,80,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, industrial engineering",3.4,0,,6.5,79,110,5.0,"AI, Energy",1,5,28000,8795,36795,1,50,1,,,74.0,,2026-04-29,
KTH Royal Institute of Technology,Sweden,,97,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.4,1,310.0,6.5,79,110,5.0,"AI, Sustainability",1,3,16000,11130,27130,1,50,0,,,41.0,,2026-04-29,
Lund University,Sweden,,85,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering",3.4,0,,6.5,79,110,5.0,"AI, Health",1,3,14000,15403,29403,1,50,1,,,34.0,,2026-04-29,
University of Copenhagen,Denmark,,73,Graduate,"medicine, sciences","medicine, sciences",3.4,0,,6.5,79,110,5.0,"AI, Climate",1,3,14000,15287,29287,1,50,0,,,37.0,,2026-04-29,
Emory University,United States,,159,Graduate,"medicine, business","business, medicine",3.6,1,320.0,7.0,94,120,5.0,"Health, AI",1,5,57000,19701,76701,1,50,1,,,11.0,,2026-04-29,
University of Sheffield,United Kingdom,,105,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering, biomedical engineering",3.4,0,,6.5,79,110,5.0,"AI, Materials",1,5,28000,11362,39362,1,50,0,,,75.0,,2026-04-29,
Penn State (Main campus),United States,,83,Graduate,"engineering, business","business, engineering, mechanical engineering, electrical engineering, civil engineering, aerospace engineering",3.5,1,315.0,6.5,79,110,5.0,"AI, Energy",1,5,38000,19204,57204,1,50,1,,,55.0,,2026-04-29,
University of Tübingen,Germany,,213,Graduate,"medicine, sciences","medicine, sciences",3.3,1,310.0,6.5,79,110,5.0,"AI, Neuroscience",1,2,3000,16502,19502,1,25,0,,,20.0,,2026-04-29,
Sungkyunkwan University (SKKU),South Korea,,88,Graduate,"engineering, business","business, engineering, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.5,1,310.0,6.0,60,100,5.0,"AI, Semiconductors",1,3,8000,10814,18814,1,50,0,,,25.0,,2026-04-29,
Yonsei University (Seoul campus),South Korea,,76,Graduate,"medicine, business","business, medicine",3.5,1,310.0,6.0,60,100,5.0,"AI, Health",1,3,9000,18789,27789,1,50,0,,,18.0,,2026-04-29,
Free University of Berlin,Germany,,97,Graduate,"social sciences, sciences","sciences, social sciences",3.3,1,310.0,6.5,79,110,5.0,AI Ethics,1,2,3000,18834,21834,1,50,0,,,15.0,,2026-04-29,
University of Bern,Switzerland,,126,Graduate,"medicine, sciences","medicine, sciences",3.4,1,310.0,6.5,79,110,5.0,"Climate, AI",1,3,1800,11139,12939,1,50,0,,,25.0,,2026-04-29,
University of Warwick,United Kingdom,,69,Graduate,"business, social sciences","business, social sciences",3.4,0,,6.5,79,110,5.0,"Economics, AI",1,5,32000,14028,46028,1,50,1,,,14.0,,2026-04-29,
Erasmus University Rotterdam,Netherlands,,176,Graduate,"business, medicine","business, medicine",3.3,0,,6.5,79,110,3.0,"Economics, Health",1,3,12000,10065,22065,1,50,0,,,40.0,,2026-04-29,
Lomonosov Moscow State University,Russian Federation,,74,Graduate,"sciences, engineering","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.4,1,310.0,6.0,60,100,5.0,"Physics, AI",1,3,5000,19900,24900,1,50,1,,,20.0,,2026-04-29,
University of Helsinki,Finland,,106,Graduate,"medicine, sciences","medicine, sciences",3.4,0,,6.5,79,110,5.0,"AI, Climate",1,3,14000,13828,27828,1,50,1,,,17.0,,2026-04-29,
Aarhus University,Denmark,,143,Graduate,"sciences, business","business, sciences",3.3,0,,6.5,79,110,5.0,"AI, Health",1,3,14000,18684,32684,1,50,0,,,37.0,,2026-04-29,
University of Vienna,Austria,,127,Graduate,"humanities, sciences","humanities, sciences",3.3,0,,6.5,79,110,5.0,AI Ethics,1,2,1700,16889,18589,1,50,0,,,20.0,,2026-04-29,
Ghent University,Belgium,,169,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, industrial engineering",3.3,1,310.0,6.5,79,110,3.0,Biotech,1,3,6000,11761,17761,1,50,0,,,25.0,,2026-04-29,
Rice University,United States,,145,Graduate,"engineering, business","business, engineering, mechanical engineering, electrical engineering, chemical engineering, aerospace engineering, biomedical engineering",3.7,1,320.0,7.0,94,120,5.0,"Materials, AI",1,5,54000,14664,68664,1,50,1,,,8.7,,2026-04-29,
University of Maryland College Park,United States,,158,Graduate,"engineering, computer science","computer science, engineering, mechanical engineering, electrical engineering, biomedical engineering",3.5,1,315.0,6.5,79,110,5.0,"AI, Cybersecurity",1,5,38000,8793,46793,1,50,1,,,44.0,,2026-04-29,
University of Southampton,United Kingdom,,80,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, industrial engineering",3.4,0,,6.5,79,110,5.0,"AI, Sustainability",1,5,28000,15714,43714,1,50,0,,,84.0,,2026-04-29,
McMaster University,Canada,,103,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, chemical engineering, aerospace engineering",3.4,1,315.0,6.5,79,110,5.0,"Health, AI",1,5,24000,16551,40551,1,50,1,,,58.0,,2026-04-29,
Ohio State University (Main campus),United States,,121,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, chemical engineering, biomedical engineering",3.5,1,315.0,6.5,79,110,5.0,"AI, Health",1,5,38000,12188,50188,1,50,0,,,53.0,,2026-04-29,
University of Alberta,Canada,,96,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, civil engineering",3.4,1,315.0,6.5,79,110,5.0,"Energy, AI",1,5,22000,18546,40546,1,50,0,,,58.0,,2026-04-29,
University of Oslo,Norway,,126,Graduate,"medicine, sciences","medicine, sciences",3.3,0,,6.5,79,110,5.0,"Climate, AI",1,3,1000,15404,16404,1,50,1,,,10.0,,2026-04-29,
Tohoku University,Japan,,79,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, industrial engineering",3.4,1,310.0,6.0,60,100,5.0,"Materials, AI",1,3,5000,9911,14911,1,50,1,,,25.0,,2026-04-29,
University of Göttingen,Germany,,232,Graduate,"sciences, humanities","humanities, sciences",3.3,1,310.0,6.5,79,110,5.0,"Physics, AI",1,2,3000,16877,19877,1,25,0,,,12.0,,2026-04-29,
Michigan State University,United States,,136,Graduate,"engineering, business","business, engineering, mechanical engineering, electrical engineering, chemical engineering, aerospace engineering, biomedical engineering, industrial engineering",3.4,1,315.0,6.5,79,110,5.0,"AI, Agriculture",1,5,41000,8129,49129,1,50,1,,,71.0,,2026-04-29,
University of Leeds,United Kingdom,,82,Graduate,"engineering, business","business, engineering, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering, biomedical engineering",3.4,0,,6.5,79,110,5.0,"AI, Health",1,5,28000,14680,42680,1,50,0,,,77.0,,2026-04-29,
Technical University of Denmark,Denmark,,109,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, biomedical engineering",3.4,0,,6.5,79,110,5.0,"AI, Sustainability",1,3,16000,16996,32996,1,50,0,,,45.0,,2026-04-29,
Université de Montréal,Canada,,159,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering",3.4,1,315.0,6.5,79,110,5.0,"AI, Health",1,5,25000,12838,37838,1,50,0,,,45.0,,2026-04-29,
University of Basel,Switzerland,,126,Graduate,"medicine, sciences","medicine, sciences",3.4,1,310.0,6.5,79,110,5.0,"Biomed, AI",1,3,1800,17801,19601,1,50,1,,,25.0,,2026-04-29,
University of Rochester,United States,,224,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, aerospace engineering, biomedical engineering",3.5,1,320.0,7.0,94,120,5.0,"Optics, AI",1,5,58000,13645,71645,1,25,0,,,36.0,,2026-04-29,
University of Adelaide,Australia,,82,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, chemical engineering, biomedical engineering",3.3,0,,6.5,79,110,5.0,"AI, Health",1,3,31000,13898,44898,1,50,1,,,75.0,,2026-04-29,
University of Freiburg,Germany,,192,Graduate,"medicine, sciences","medicine, sciences",3.3,1,310.0,6.5,79,110,5.0,"AI, Materials",1,2,3000,17889,20889,1,50,1,,,33.0,,2026-04-29,
University of Florida,United States,,188,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, aerospace engineering",3.4,1,315.0,6.5,79,110,5.0,"AI, Health",1,5,29000,15217,44217,1,50,0,,,30.0,,2026-04-29,
Uppsala University,Sweden,,105,Graduate,"medicine, sciences","medicine, sciences",3.3,0,,6.5,79,110,5.0,"AI, Climate",1,3,14000,16471,30471,1,50,1,,,34.0,,2026-04-29,
Maastricht University,Netherlands,,256,Graduate,"business, medicine","business, medicine",3.3,0,,6.5,79,110,5.0,"Health, AI",1,3,15000,17160,32160,1,25,0,,,52.0,,2026-04-29,
University of Hamburg,Germany,,205,Graduate,"medicine, social sciences","medicine, social sciences",3.3,1,310.0,6.5,79,110,5.0,"AI, Climate",1,2,3000,15875,18875,1,25,1,,,35.0,,2026-04-29,
University of Lausanne,Switzerland,,220,Graduate,"business, medicine","business, medicine",3.3,1,310.0,6.5,79,110,3.0,"Finance, Health",1,3,1800,9205,11005,1,25,1,,,20.0,,2026-04-29,
Wuhan University,China,,194,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, aerospace engineering, biomedical engineering",3.4,1,310.0,6.0,60,100,5.0,"AI, Law",1,3,25000,16433,41433,1,50,0,,,15.0,,2026-04-29,
University of Arizona,United States,,293,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, biomedical engineering",3.3,1,310.0,6.5,79,110,5.0,"AI, Astronomy",1,5,34000,14279,48279,1,25,0,,,87.0,,2026-04-29,
University of Nottingham,United Kingdom,,108,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering, biomedical engineering",3.4,0,,6.5,79,110,5.0,"AI, Health",1,5,28000,14935,42935,1,50,1,,,80.0,,2026-04-29,
Vrije Universiteit Amsterdam,Netherlands,,219,Graduate,"social sciences, sciences","sciences, social sciences",3.3,0,,6.5,79,110,5.0,"AI, Health",1,3,14000,19297,33297,1,25,1,,,45.0,,2026-04-29,
Trinity College Dublin,Ireland,,87,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering, biomedical engineering, industrial engineering",3.4,0,,6.5,79,110,5.0,"AI, Health",1,3,22000,16041,38041,1,50,0,,,34.0,,2026-04-29,
Technical University of Berlin,Germany,,147,Graduate,"engineering, computer science","computer science, engineering, mechanical engineering, electrical engineering, chemical engineering, aerospace engineering, biomedical engineering, industrial engineering",3.3,1,310.0,6.5,79,110,5.0,"AI, Mobility",1,2,3000,12266,15266,1,50,1,,,15.0,,2026-04-29,
Queen Mary University of London,United Kingdom,,145,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, chemical engineering, aerospace engineering",3.4,0,,6.5,79,110,5.0,"AI, Materials",1,5,28000,18148,46148,1,50,0,,,50.0,,2026-04-29,
University of Pittsburgh - Pittsburgh campus,United States,,143,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, biomedical engineering, industrial engineering",3.4,1,315.0,6.5,79,110,5.0,"Health, AI",1,5,40000,15569,55569,1,50,0,,,64.0,,2026-04-29,
Radboud University Nijmegen,Netherlands,,222,Graduate,"medicine, sciences","medicine, sciences",3.3,0,,6.5,79,110,5.0,"AI, Neuroscience",1,3,14000,17976,31976,1,25,1,,,40.0,,2026-04-29,
Texas A&M University,United States,,134,Graduate,"engineering, agriculture","agriculture, engineering, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering, industrial engineering",3.4,1,315.0,6.5,79,110,5.0,"Energy, AI",1,5,38000,16098,54098,1,50,0,,,63.0,,2026-04-29,
University of Colorado Boulder,United States,,264,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, biomedical engineering, industrial engineering",3.4,1,315.0,6.5,79,110,5.0,"AI, Aerospace",1,5,38000,18521,56521,1,25,0,,,80.0,,2026-04-29,
Beijing Normal University,China,,272,Graduate,"education, sciences","education, sciences",3.4,1,310.0,6.0,60,100,5.0,"AI, Education",1,3,25000,12653,37653,1,25,1,,,12.0,,2026-04-29,
University of Bologna,Italy,,133,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, biomedical engineering",3.3,0,,6.0,60,100,5.0,"AI, Heritage",1,3,3000,15362,18362,1,50,0,,,55.0,,2026-04-29,
University of York,United Kingdom,,184,Graduate,"social sciences, sciences","sciences, social sciences",3.4,0,,6.5,79,110,5.0,"AI, Health",1,5,28000,15124,43124,1,50,1,,,80.0,,2026-04-29,
The University of Western Australia,Australia,,90,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.3,0,,6.5,79,110,5.0,"Mining, AI",1,3,31000,17465,48465,1,50,1,,,38.0,,2026-04-29,
University of Barcelona,Spain,,164,Graduate,"medicine, sciences","medicine, sciences",3.3,0,,6.0,60,100,5.0,"AI, Health",1,3,3000,16736,19736,1,50,1,,,30.0,,2026-04-29,
Pohang University of Science and Technology (POSTECH),South Korea,,98,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, biomedical engineering, industrial engineering",3.5,1,310.0,6.0,60,100,5.0,"Materials, AI",1,3,8000,15284,23284,1,50,1,,,14.0,,2026-04-29,
Harbin Institute of Technology,China,,256,Graduate,engineering,"engineering, mechanical engineering, electrical engineering, civil engineering",3.4,1,310.0,6.0,60,100,5.0,"AI, Space",1,3,25000,18820,43820,1,25,0,,,10.0,,2026-04-29,
University of Auckland,New Zealand,,65,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, aerospace engineering",3.4,0,,6.5,79,110,5.0,"AI, Health",1,3,28000,15142,43142,1,50,0,,,45.0,,2026-04-29,
Scuola Normale Superiore di Pisa,Italy,,                                                             NA,Graduate,"sciences, humanities","humanities, sciences",3.5,0,,6.0,60,100,5.0,"Physics, AI",1,3,3000,13875,16875,1,25,0,,,5.0,,2026-04-29,
Tongji University,China,,216,Graduate,"engineering, architecture","architecture, engineering, mechanical engineering, electrical engineering, chemical engineering, biomedical engineering",3.4,1,310.0,6.0,60,100,5.0,"Urban, AI",1,3,25000,8121,33121,1,25,1,,,15.0,,2026-04-29,
University of Technology Sydney,Australia,,88,Graduate,"engineering, business","business, engineering, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.3,0,,6.5,79,110,5.0,"AI, Design",1,3,30000,14531,44531,1,50,0,,,35.0,,2026-04-29,
Newcastle University,United Kingdom,,168,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, biomedical engineering",3.3,0,,6.5,79,110,5.0,"Energy, AI",1,5,28000,18053,46053,1,50,1,,,87.0,,2026-04-29,
University of Cologne,Germany,,268,Graduate,"medicine, business","business, medicine",3.3,1,310.0,6.5,79,110,5.0,"AI, Economics",1,2,3000,19138,22138,1,25,0,,,20.0,,2026-04-29,
Case Western Reserve University,United States,,215,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, biomedical engineering",3.5,1,320.0,7.0,94,120,5.0,"Health, AI",1,5,52000,16989,68989,1,25,0,,,27.0,,2026-04-29,
TU Dresden,Germany,,234,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering, industrial engineering",3.3,1,310.0,6.5,79,110,5.0,"AI, Materials",1,2,3000,18333,21333,1,25,1,,,20.0,,2026-04-29,
University of Liverpool,United Kingdom,,165,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering",3.3,0,,6.5,79,110,5.0,"AI, Health",1,5,28000,9308,37308,1,50,1,,,75.0,,2026-04-29,
The University of Osaka,Japan,,80,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, biomedical engineering, industrial engineering",3.4,1,310.0,6.0,60,100,5.0,"AI, Biotech",1,3,5000,17306,22306,1,50,0,,,25.0,,2026-04-29,
University of Virginia (Main campus),United States,,297,Graduate,"medicine, law, engineering","engineering, law, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.5,1,320.0,7.0,94,120,5.0,"AI, Policy",1,5,55000,12515,67515,1,25,1,,,19.0,,2026-04-29,
University of Waterloo,Canada,,115,Graduate,"engineering, computer science","computer science, engineering, mechanical engineering, electrical engineering, civil engineering, biomedical engineering",3.4,1,315.0,6.5,79,110,5.0,"AI, Quantum",1,5,25000,8186,33186,1,50,0,,,53.0,,2026-04-29,
University of Würzburg,Germany,,197,Graduate,"medicine, sciences","medicine, sciences",3.3,1,310.0,6.5,79,110,5.0,"AI, Biomed",1,2,3000,13089,16089,1,50,1,,,15.0,,2026-04-29,
Huazhong University of Science and Technology,China,,275,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, chemical engineering, aerospace engineering, biomedical engineering",3.4,1,310.0,6.0,60,100,5.0,"AI, Health",1,3,25000,10770,35770,1,25,0,,,20.0,,2026-04-29,
Karlsruhe Institute of Technology,Germany,,102,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, industrial engineering",3.3,1,310.0,6.5,79,110,5.0,"Energy, AI",1,2,3000,17890,20890,1,50,0,,,25.0,,2026-04-29,
Dartmouth College,United States,,243,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, biomedical engineering, industrial engineering",3.7,1,320.0,7.0,94,120,5.0,"AI, Health",1,5,62000,9517,71517,1,25,0,,,6.2,,2026-04-29,
Lancaster University,United Kingdom,,122,Graduate,"business, social sciences","business, social sciences",3.4,0,,6.5,79,110,5.0,"AI, Management",1,5,28000,15155,43155,1,50,1,,,19.0,,2026-04-29,
University of Antwerp,Belgium,,248,Graduate,"medicine, sciences","medicine, sciences",3.3,1,310.0,6.5,79,110,5.0,"AI, Health",1,3,6000,10150,16150,1,25,1,,,40.0,,2026-04-29,
University of Geneva,Switzerland,,128,Graduate,"international relations, sciences","international relations, sciences",3.3,1,310.0,6.5,79,110,5.0,"AI, Policy",1,3,1800,8734,10534,1,50,0,,,25.0,,2026-04-29,
Durham University,United Kingdom,,89,Graduate,"business, sciences","business, sciences",3.4,0,,6.5,79,110,5.0,"AI, Energy",1,5,28000,18980,46980,1,50,1,,,74.0,,2026-04-29,
National Taiwan University (NTU),Taiwan,,68,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, industrial engineering",3.4,1,310.0,6.0,60,100,5.0,"AI, Semiconductors",1,3,4000,12295,16295,1,50,1,,,30.0,,2026-04-29,
University of Exeter,United Kingdom,,169,Graduate,"medicine, business","business, medicine",3.4,0,,6.5,79,110,5.0,"AI, Climate",1,5,28000,13720,41720,1,50,1,,,89.0,,2026-04-29,
Université Catholique de Louvain,Belgium,,180,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering, biomedical engineering",3.3,1,310.0,6.5,79,110,5.0,"AI, Health",1,3,5000,13648,18648,1,50,1,,,20.0,,2026-04-29,
King Fahd University of Petroleum and Minerals,Saudi Arabia,,180,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering, biomedical engineering",3.4,1,310.0,6.0,60,100,5.0,"Energy, AI",1,3,3000,15116,18116,1,50,1,,,15.0,,2026-04-29,
Pompeu Fabra University,Spain,,297,Graduate,"social sciences, business","business, social sciences",3.3,0,,6.0,60,100,5.0,"Economics, AI",1,3,3000,16722,19722,1,25,1,,,30.0,,2026-04-29,
Macquarie University,Australia,,130,Graduate,"business, engineering","business, engineering, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering, biomedical engineering, industrial engineering",3.3,0,,6.5,79,110,5.0,"AI, Business",1,3,31000,14085,45085,1,50,0,,,40.0,,2026-04-29,
Tufts University,United States,,275,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, chemical engineering, aerospace engineering, biomedical engineering",3.6,1,320.0,7.0,94,120,5.0,"AI, Health",1,5,63000,15884,78884,1,25,0,,,9.5,,2026-04-29,
University of Cape Town,South Africa,,171,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, biomedical engineering",3.3,0,,6.5,79,110,5.0,"AI, Climate",1,3,5000,18423,23423,1,50,1,,,23.0,,2026-04-29,
University of Macau,Macao,,254,Graduate,"business, engineering","business, engineering, mechanical engineering, electrical engineering, civil engineering, aerospace engineering",3.3,1,310.0,6.0,60,100,5.0,"AI, Gaming",1,3,8000,15464,23464,1,25,0,,,20.0,,2026-04-29,
University of Twente,Netherlands,,210,Graduate,"engineering, business","business, engineering, mechanical engineering, electrical engineering, civil engineering, chemical engineering, industrial engineering",3.3,0,,6.5,79,110,5.0,"AI, Robotics",1,3,12000,8555,20555,1,25,1,,,45.0,,2026-04-29,
Southern University of Science and Technology (SUSTech),China,,                                                             NA,Graduate,"engineering, sciences","engineering, sciences, mechanical engineering, electrical engineering, biomedical engineering",3.5,1,310.0,6.0,60,100,5.0,"AI, Materials",1,3,28000,15440,43440,1,25,1,,,10.0,,2026-04-29,
Université Paris Cité,France,,236,Graduate,"medicine, sciences","medicine, sciences",3.3,0,,6.0,60,100,5.0,"AI, Health",1,3,3000,18273,21273,1,25,0,,,15.0,,2026-04-29,
Eindhoven University of Technology,Netherlands,,124,Graduate,"engineering, computer science","computer science, engineering, mechanical engineering, electrical engineering, civil engineering, chemical engineering, biomedical engineering, industrial engineering",3.3,0,,6.5,79,110,5.0,"AI, High-Tech",1,3,15000,17681,32681,1,50,0,,,50.0,,2026-04-29,
Sapienza University of Rome,Italy,,134,Graduate,"engineering, medicine","engineering, medicine, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.3,0,,6.0,60,100,5.0,"AI, Heritage",1,3,3000,8542,11542,1,50,1,,,60.0,,2026-04-29,
University of St Andrews,United Kingdom,,95,Graduate,"sciences, humanities","humanities, sciences",3.4,0,,6.5,79,110,5.0,"AI, Physics",1,5,32000,12980,44980,1,50,0,,,25.0,,2026-04-29,
University of Münster,Germany,,196,Graduate,"medicine, sciences","medicine, sciences",3.3,1,310.0,6.5,79,110,5.0,"AI, Chemistry",1,2,3000,8467,11467,1,50,0,,,20.0,,2026-04-29,
Indiana University,United States,,355,Graduate,"business, medicine","business, medicine",3.4,1,315.0,6.5,79,110,5.0,"AI, Health",1,5,38000,17564,55564,1,25,0,,,80.0,,2026-04-29,
Korea University,South Korea,,67,Graduate,"business, engineering","business, engineering, mechanical engineering, electrical engineering, civil engineering, biomedical engineering",3.4,1,310.0,6.0,60,100,5.0,"AI, Business",1,3,9000,18793,27793,1,50,1,,,20.0,,2026-04-29,
Abu Dhabi University,United Arab Emirates,,                                                         701+,Graduate,"engineering, business","business, engineering, mechanical engineering, electrical engineering, civil engineering, chemical engineering, industrial engineering",3.3,1,310.0,6.0,60,100,5.0,"AI, Energy",1,3,12000,15474,27474,1,25,1,,,40.0,,2026-04-29,
Stockholm University,Sweden,,141,Graduate,"social sciences, sciences","sciences, social sciences",3.3,0,,6.5,79,110,5.0,"AI, Climate",1,3,14000,19372,33372,1,50,1,,,40.0,,2026-04-29,
University of Leicester,United Kingdom,,272,Graduate,"medicine, engineering","engineering, medicine, mechanical engineering, electrical engineering, chemical engineering, aerospace engineering, biomedical engineering",3.3,0,,6.5,79,110,5.0,"AI, Space",1,5,28000,16767,44767,1,25,0,,,72.0,,2026-04-29,
University of Ottawa,Canada,,189,Graduate,"engineering, law, business, medicine, social sciences","business, engineering, law, medicine, social sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering, biomedical engineering",3.3,1,310.0,6.5,79,110,5.0,"AI & Cybersecurity, Public Policy, Health Sciences",1,5,22000,19357,41357,1,50,0,,,35.0,,2026-04-29,
Tokyo Institute of Technology,Japan,,91,Graduate,"engineering, computer science, materials science, physics","computer science, engineering, materials science, physics, mechanical engineering, electrical engineering, civil engineering, chemical engineering",3.4,1,315.0,6.0,60,100,5.0,"Robotics & AI, Materials Science, Sustainable Energy",1,3,5000,12666,17666,1,50,1,,,20.0,,2026-04-29,
Aalto University,Finland,,113,Graduate,"design, engineering, business, computer science","business, computer science, design, engineering, mechanical engineering, electrical engineering, civil engineering",3.3,1,310.0,6.5,79,110,5.0,"Design Innovation, AI & Digitalisation, Sustainable Tech",1,3,15000,12648,27648,1,50,0,,,12.0,,2026-04-29,
University of California Santa Cruz,United States,,293,Graduate,"computer science, astronomy, environmental science, game design","astronomy, computer science, environmental science, game design",3.4,1,310.0,6.5,79,110,5.0,"Astronomy & Astrophysics, AI & Data Science, Environmental Policy",1,5,29000,19187,48187,1,25,0,,,47.0,,2026-04-29,
University of Notre Dame,United States,,304,Graduate,"business, law, engineering, theology","business, engineering, law, theology, mechanical engineering, electrical engineering, chemical engineering, biomedical engineering",3.7,1,320.0,7.0,94,120,5.0,"Business Ethics, Engineering Innovation, Global Affairs",1,5,58000,12970,70970,1,25,1,,,13.0,,2026-04-29,
Ulm University,Germany,,375,Graduate,"medicine, engineering, computer science, mathematics","computer science, engineering, mathematics, medicine, mechanical engineering, electrical engineering, chemical engineering, industrial engineering",3.2,1,310.0,6.5,79,110,5.0,"Medical Engineering, AI & Data Analytics",1,2,3000,11124,14124,1,25,0,,,25.0,,2026-04-29,
Universitat Autònoma de Barcelona,Spain,,196,Graduate,"medicine, engineering, humanities, environmental science","engineering, environmental science, humanities, medicine, mechanical engineering, electrical engineering, civil engineering, aerospace engineering, biomedical engineering",3.2,0,,6.5,79,110,2.0,"Environmental Science, Biomedicine, Humanities",0,3,4000,17290,21290,1,50,1,,,30.0,,2026-04-29,
University of Zurich,Switzerland,,109,Graduate,"medicine, economics, law, sciences","economics, law, medicine, sciences",3.4,1,310.0,6.5,79,110,5.0,"Neuroscience, Finance, AI Ethics",1,3,1800,8322,10122,1,50,1,,,27.0,,2026-04-29,
University of Sussex,United Kingdom,,218,Graduate,"social sciences, engineering, business","business, engineering, social sciences, mechanical engineering, electrical engineering, civil engineering, chemical engineering, aerospace engineering, industrial engineering",3.3,0,,6.5,79,110,5.0,"AI Policy, Climate",1,5,28000,9706,37706,1,25,0,,,85.0,,2026-04-29,
University of Reading,United Kingdom,,169,Graduate,"agriculture, business, meteorology","agriculture, business, meteorology",3.3,0,,6.5,79,110,5.0,"Climate, AI",1,5,28000,9604,37604,1,50,0,,,87.0,,2026-04-29,
University of Alberta (additional programs),Canada,,96,Graduate,"agriculture, environmental science","agriculture, environmental science",3.4,1,315.0,6.5,79,110,5.0,"Energy Transition, AI",1,5,22000,17507,39507,1,50,1,,,58.0,,2026-04-29,
