university_name,country,degree_level,programs_offered,qs_ranking,min_gpa,min_gre,Ielts_requirement,tuition_fee,acceptance_rate,research_focus,scholarship_available,max_coverage_percent,research_weight,eca_weight,living_cost,total_cost_estimated,work_visa_available,agriculture,architecture,arts,arts_&_humanities,astronomy,biology,biotech,business,chemistry,cinema,computer_science,computing,design,economics,education,energy,engineering,environmental_science,environmental_studies,film_&_media,game_design,hotel_management,humanities,informatics,international_affairs,international_relations,journalism,law,life_sciences,management,marine_sciences,materials,materials_science,mathematics,medicine,meteorology,natural_sciences,physical_sciences,physics,politics,public_affairs,public_health,public_policy,robotics,sciences,social_sciences,theology,tourism,wind_energy,mechanical_engineering,electrical_engineering,civil_engineering,chemical_engineering,aerospace_engineering,biomedical_engineering,industrial_engineering
Nanjing University,China,Graduate,"sciences, engineering",141,3.5,310.0,6.0,25000,9.0,"Materials, AI",1,50,5,3,17122,42122,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,0,1,1,1
The Hong Kong University of Science and Technology,Hong Kong,Graduate,"engineering, business",47,3.5,310.0,6.5,18000,10.0,"AI, Sustainability",1,100,5,3,13907,31907,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,0
University of California Santa Barbara,United States,Graduate,"engineering, sciences",178,3.5,315.0,6.5,34000,29.0,"Materials, Physics",1,50,5,5,10397,44397,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,0,0,1,0
Wageningen University & Research,Netherlands,Graduate,"agriculture, environmental science",151,3.3,,6.5,19000,50.0,"Food, Sustainability",1,50,5,3,11128,30128,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Washington University in St Louis,United States,Graduate,"medicine, engineering, business",108,3.7,320.0,7.0,58000,11.0,"Biomed, AI",1,50,5,5,13036,71036,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,0
University of North Carolina at Chapel Hill,United States,Graduate,"medicine, public health, business",132,3.5,315.0,6.5,37000,17.0,"Health, AI",1,50,5,5,14155,51155,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Institut Polytechnique de Paris,France,Graduate,"engineering, sciences",46,3.5,,6.5,3000,10.0,"Math, AI",1,100,5,3,18319,21319,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,1,0,0,0
University of Southern California,United States,Graduate,"engineering, business, cinema",80,3.6,320.0,7.0,58000,12.0,"AI, Entertainment",1,50,5,5,12783,70783,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,0,0
Australian National University,Australia,Graduate,"sciences, law, engineering",30,3.4,,6.5,32000,35.0,"Climate, Policy",1,100,3,3,18432,50432,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,0,0,1,1
Leiden University,Netherlands,Graduate,"law, medicine, sciences",126,3.4,,6.5,20000,47.0,"Bio, AI",1,50,5,3,11491,31491,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Boston University,United States,Graduate,"medicine, engineering, business",93,3.6,320.0,7.0,58000,14.0,"Health, AI",1,50,5,5,13271,71271,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,0
Sorbonne University,France,Graduate,"medicine, sciences, humanities",63,3.4,,6.0,3000,15.0,"Physics, History",1,50,5,3,12363,15363,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
The University of Queensland,Australia,Graduate,"medicine, engineering, business",40,3.4,,6.5,31000,30.0,"Health, Mining",1,100,3,3,14161,45161,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,1,0
City University of Hong Kong,Hong Kong,Graduate,"engineering, business, law",53,3.5,310.0,6.5,18000,12.0,"AI, Law",1,50,5,3,17881,35881,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,0
University of Bristol,United Kingdom,Graduate,"engineering, medicine, social sciences",54,3.5,,6.5,32000,60.0,"AI, Climate",1,50,5,5,9268,41268,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,1,1,1,1,0,0
Purdue University West Lafayette,United States,Graduate,"engineering, agriculture, computer science",129,3.5,315.0,6.5,31000,50.0,"AI, Aerospace",1,50,5,5,10691,41691,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,0
University of Groningen,Netherlands,Graduate,"medicine, engineering, sciences",159,3.3,,6.5,16000,50.0,"Energy, AI",1,50,5,3,13809,29809,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,0,1,0,1,1
Korea Advanced Institute of Science and Technology (KAIST),South Korea,Graduate,"engineering, sciences",41,3.5,310.0,6.0,6000,18.0,"AI, Robotics",1,100,5,3,19653,25653,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,0,1,0,0
UNSW Sydney,Australia,Graduate,"engineering, business, law",19,3.4,,6.5,34000,30.0,"AI, Sustainability",1,100,5,3,9682,43682,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,1,0,1
Humboldt University of Berlin,Germany,Graduate,"social sciences, humanities, sciences",120,3.3,310.0,6.5,3000,18.0,"AI Ethics, History",1,50,5,2,16123,19123,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0
The Hong Kong Polytechnic University,Hong Kong,Graduate,"engineering, business",65,3.4,310.0,6.5,18000,15.0,"AI, Design",1,50,5,3,19928,37928,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,0,0
University of Massachusetts,United States,Graduate,"engineering, computer science",245,3.4,310.0,6.5,35000,63.0,"AI, Materials",1,25,5,5,19721,54721,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,0,1
University of Glasgow,United Kingdom,Graduate,"medicine, engineering, business",78,3.5,,6.5,31000,70.0,"AI, Health",1,50,5,5,8395,39395,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,0
University of Minnesota,United States,Graduate,"medicine, engineering, business",203,3.5,315.0,6.5,30000,70.0,"AI, Health",1,25,5,5,16595,46595,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,0
University of Bonn,Germany,Graduate,"medicine, sciences",239,3.3,310.0,6.5,3000,15.0,"Physics, AI",1,25,5,2,9011,12011,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
University of California Irvine,United States,Graduate,"engineering, medicine",268,3.5,315.0,6.5,34000,21.0,"AI, Health",1,25,5,5,14757,48757,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,0,0
Vanderbilt University,United States,Graduate,"medicine, engineering, business",108,3.7,320.0,7.0,58000,6.1,"AI, Health",1,50,5,5,12809,70809,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,0,0
RWTH Aachen University,Germany,Graduate,"engineering, sciences",99,3.3,310.0,6.5,3000,10.0,"AI, Manufacturing",1,50,5,2,18186,21186,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,1,0,1,1
Charité - Universitätsmedizin Berlin,Germany,Graduate,medicine,,3.3,310.0,6.5,3000,5.0,Biomedical,1,25,5,2,9399,12399,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
University of Birmingham,United Kingdom,Graduate,"medicine, engineering",80,3.4,,6.5,28000,74.0,"AI, Energy",1,50,5,5,8795,36795,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,1,0,1
KTH Royal Institute of Technology,Sweden,Graduate,"engineering, sciences",97,3.4,310.0,6.5,16000,41.0,"AI, Sustainability",1,50,5,3,11130,27130,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,1,0,1,0
Lund University,Sweden,Graduate,"medicine, engineering",85,3.4,,6.5,14000,34.0,"AI, Health",1,50,5,3,15403,29403,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,0,0
University of Copenhagen,Denmark,Graduate,"medicine, sciences",73,3.4,,6.5,14000,37.0,"AI, Climate",1,50,5,3,15287,29287,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Emory University,United States,Graduate,"medicine, business",159,3.6,320.0,7.0,57000,11.0,"Health, AI",1,50,5,5,19701,76701,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
University of Sheffield,United Kingdom,Graduate,"engineering, medicine",105,3.4,,6.5,28000,75.0,"AI, Materials",1,50,5,5,11362,39362,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,1,1,0
Penn State (Main campus),United States,Graduate,"engineering, business",83,3.5,315.0,6.5,38000,55.0,"AI, Energy",1,50,5,5,19204,57204,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,1,0,0
University of Tübingen,Germany,Graduate,"medicine, sciences",213,3.3,310.0,6.5,3000,20.0,"AI, Neuroscience",1,25,5,2,16502,19502,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Sungkyunkwan University (SKKU),South Korea,Graduate,"engineering, business",88,3.5,310.0,6.0,8000,25.0,"AI, Semiconductors",1,50,5,3,10814,18814,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,0,0
Yonsei University (Seoul campus),South Korea,Graduate,"medicine, business",76,3.5,310.0,6.0,9000,18.0,"AI, Health",1,50,5,3,18789,27789,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Free University of Berlin,Germany,Graduate,"social sciences, sciences",97,3.3,310.0,6.5,3000,15.0,AI Ethics,1,50,5,2,18834,21834,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0
University of Bern,Switzerland,Graduate,"medicine, sciences",126,3.4,310.0,6.5,1800,25.0,"Climate, AI",1,50,5,3,11139,12939,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
University of Warwick,United Kingdom,Graduate,"business, social sciences",69,3.4,,6.5,32000,14.0,"Economics, AI",1,50,5,5,14028,46028,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
Erasmus University Rotterdam,Netherlands,Graduate,"business, medicine",176,3.3,,6.5,12000,40.0,"Economics, Health",1,50,3,3,10065,22065,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Lomonosov Moscow State University,Russian Federation,Graduate,"sciences, engineering",74,3.4,310.0,6.0,5000,20.0,"Physics, AI",1,50,5,3,19900,24900,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,1,0,0,0
University of Helsinki,Finland,Graduate,"medicine, sciences",106,3.4,,6.5,14000,17.0,"AI, Climate",1,50,5,3,13828,27828,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Aarhus University,Denmark,Graduate,"sciences, business",143,3.3,,6.5,14000,37.0,"AI, Health",1,50,5,3,18684,32684,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
University of Vienna,Austria,Graduate,"humanities, sciences",127,3.3,,6.5,1700,20.0,AI Ethics,1,50,5,2,16889,18589,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Ghent University,Belgium,Graduate,"engineering, medicine",169,3.3,310.0,6.5,6000,25.0,Biotech,1,50,3,3,11761,17761,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,0,1
Rice University,United States,Graduate,"engineering, business",145,3.7,320.0,7.0,54000,8.7,"Materials, AI",1,50,5,5,14664,68664,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,1,1,0
University of Maryland College Park,United States,Graduate,"engineering, computer science",158,3.5,315.0,6.5,38000,44.0,"AI, Cybersecurity",1,50,5,5,8793,46793,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,0
University of Southampton,United Kingdom,Graduate,"engineering, medicine",80,3.4,,6.5,28000,84.0,"AI, Sustainability",1,50,5,5,15714,43714,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,0,1
McMaster University,Canada,Graduate,"medicine, engineering",103,3.4,315.0,6.5,24000,58.0,"Health, AI",1,50,5,5,16551,40551,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,1,0,0
Ohio State University (Main campus),United States,Graduate,"engineering, medicine",121,3.5,315.0,6.5,38000,53.0,"AI, Health",1,50,5,5,12188,50188,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,0,1,0
University of Alberta,Canada,Graduate,"engineering, medicine",96,3.4,315.0,6.5,22000,58.0,"Energy, AI",1,50,5,5,18546,40546,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,0,0
University of Oslo,Norway,Graduate,"medicine, sciences",126,3.3,,6.5,1000,10.0,"Climate, AI",1,50,5,3,15404,16404,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Tohoku University,Japan,Graduate,"engineering, medicine",79,3.4,310.0,6.0,5000,25.0,"Materials, AI",1,50,5,3,9911,14911,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,1,0,1
University of Göttingen,Germany,Graduate,"sciences, humanities",232,3.3,310.0,6.5,3000,12.0,"Physics, AI",1,25,5,2,16877,19877,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Michigan State University,United States,Graduate,"engineering, business",136,3.4,315.0,6.5,41000,71.0,"AI, Agriculture",1,50,5,5,8129,49129,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,1,1,1
University of Leeds,United Kingdom,Graduate,"engineering, business",82,3.4,,6.5,28000,77.0,"AI, Health",1,50,5,5,14680,42680,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,1,1,0
Technical University of Denmark,Denmark,Graduate,"engineering, sciences",109,3.4,,6.5,16000,45.0,"AI, Sustainability",1,50,5,3,16996,32996,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,1,1,0,1,1,0
Université de Montréal,Canada,Graduate,"medicine, engineering",159,3.4,315.0,6.5,25000,45.0,"AI, Health",1,50,5,5,12838,37838,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,1,0,0
University of Basel,Switzerland,Graduate,"medicine, sciences",126,3.4,310.0,6.5,1800,25.0,"Biomed, AI",1,50,5,3,17801,19601,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
University of Rochester,United States,Graduate,"medicine, engineering",224,3.5,320.0,7.0,58000,36.0,"Optics, AI",1,25,5,5,13645,71645,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,1,1,0
University of Adelaide,Australia,Graduate,"engineering, medicine",82,3.3,,6.5,31000,75.0,"AI, Health",1,50,5,3,13898,44898,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,0,1,0
University of Freiburg,Germany,Graduate,"medicine, sciences",192,3.3,310.0,6.5,3000,33.0,"AI, Materials",1,50,5,2,17889,20889,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
University of Florida,United States,Graduate,"engineering, medicine",188,3.4,315.0,6.5,29000,30.0,"AI, Health",1,50,5,5,15217,44217,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,1,0,0
Uppsala University,Sweden,Graduate,"medicine, sciences",105,3.3,,6.5,14000,34.0,"AI, Climate",1,50,5,3,16471,30471,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Maastricht University,Netherlands,Graduate,"business, medicine",256,3.3,,6.5,15000,52.0,"Health, AI",1,25,5,3,17160,32160,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
University of Hamburg,Germany,Graduate,"medicine, social sciences",205,3.3,310.0,6.5,3000,35.0,"AI, Climate",1,25,5,2,15875,18875,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
University of Lausanne,Switzerland,Graduate,"business, medicine",220,3.3,310.0,6.5,1800,20.0,"Finance, Health",1,25,3,3,9205,11005,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Wuhan University,China,Graduate,"medicine, engineering",194,3.4,310.0,6.0,25000,15.0,"AI, Law",1,50,5,3,16433,41433,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,1,1,0
